B365Player1,B365Player2,Best of,Date,Player1Pts,Player1Rank,Player1,Player1Sets,Round,Series,Surface,Player2Pts,Player2Rank,Player2,Player2Sets,Winner
2.62,1.44,3,2010-01-04,568,88,Nieminen J.,0,1st Round,ATP250,Hard,850,52,Gasquet R.,0,Gasquet R.
2.25,1.57,3,2010-01-04,521,105,Odesnik W.,0,1st Round,ATP250,Hard,667,63,Clement A.,0,Odesnik W.
2.2,1.61,3,2010-01-04,587,80,Petzschner P.,0,1st Round,ATP250,Hard,744,58,Gicquel M.,0,Gicquel M.
2.62,1.44,3,2010-01-04,587,81,Falla A.,0,1st Round,ATP250,Hard,1102,32,Chardy J.,0,Falla A.
1.36,3.0,3,2010-01-04,649,67,Llodra M.,0,1st Round,ATP250,Hard,461,119,Levy H.,0,Levy H.
1.61,2.2,3,2010-01-04,1021,36,Bellucci T.,0,1st Round,ATP250,Hard,611,73,Chela J.I.,0,Bellucci T.
10.0,01.04,3,2010-01-04,137,306,Millman J.,0,1st Round,ATP250,Hard,2625,12,Stepanek R.,0,Stepanek R.
01.08,7.0,3,2010-01-04,4410,7,Roddick A.,0,1st Round,ATP250,Hard,598,77,Luczak P.,0,Roddick A.
2.0,1.72,3,2010-01-05,150,286,Tomic B.,0,1st Round,ATP250,Hard,413,131,Dolgopolov O.,0,Dolgopolov O.
1.12,5.5,3,2010-01-05,1655,20,Berdych T.,0,1st Round,ATP250,Hard,179,251,Lindahl N.,0,Berdych T.
3.0,1.36,3,2010-01-05,790,55,Fish M.,0,1st Round,ATP250,Hard,945,42,Baghdatis M.,0,Baghdatis M.
2.1,1.66,3,2010-01-05,400,134,Ball C.,0,1st Round,ATP250,Hard,590,78,Zverev M.,0,Ball C.
2.0,1.72,3,2010-01-05,1320,25,Querrey S.,0,1st Round,ATP250,Hard,935,44,Blake J.,0,Blake J.
5.0,1.14,3,2010-01-05,151,285,Ebden M.,0,1st Round,ATP250,Hard,1260,28,Melzer J.,0,Ebden M.
2.62,1.44,3,2010-01-05,284,173,Reister J.,0,1st Round,ATP250,Hard,665,65,Serra F.,0,Serra F.
1.22,4.0,3,2010-01-05,2610,13,Monfils G.,0,1st Round,ATP250,Hard,602,76,Dent T.,0,Monfils G.
3.0,1.36,3,2010-01-06,744,58,Gicquel M.,0,2nd Round,ATP250,Hard,935,44,Blake J.,0,Blake J.
1.12,5.5,3,2010-01-06,2625,12,Stepanek R.,0,2nd Round,ATP250,Hard,413,131,Dolgopolov O.,0,Stepanek R.
1.57,2.25,3,2010-01-06,587,81,Falla A.,0,2nd Round,ATP250,Hard,521,105,Odesnik W.,0,Odesnik W.
01.06,8.0,3,2010-01-06,4410,7,Roddick A.,0,2nd Round,ATP250,Hard,400,134,Ball C.,0,Roddick A.
4.33,1.2,3,2010-01-06,151,285,Ebden M.,0,2nd Round,ATP250,Hard,850,52,Gasquet R.,0,Gasquet R.
1.4,2.75,3,2010-01-06,1021,36,Bellucci T.,0,2nd Round,ATP250,Hard,461,119,Levy H.,0,Bellucci T.
4.5,1.16,3,2010-01-06,665,65,Serra F.,0,2nd Round,ATP250,Hard,2610,13,Monfils G.,0,Monfils G.
1.8,1.9,3,2010-01-06,1655,20,Berdych T.,0,2nd Round,ATP250,Hard,945,42,Baghdatis M.,0,Berdych T.
